date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:16	986/986	---M--	200	added ('OK')	image/png	etag:%221781eee-3da-5e946f0884c00%22	https://www.wisecrypto.co/assets/images/objects/circle-02.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/objects/circle-02.png	(from https://www.wisecrypto.co/)
23:01:19	198132/198132	---M--	200	added ('OK')	image/png	etag:%221781e76-305f4-5eb4940642c40%22	https://www.wisecrypto.co/assets/images/service-01.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/service-01.png	(from https://www.wisecrypto.co/)
23:01:21	95318/95318	---M--	200	added ('OK')	image/png	etag:%221781e78-17456-5e98dcbe50e00%22	https://www.wisecrypto.co/assets/images/service-03.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/service-03.png	(from https://www.wisecrypto.co/)
23:01:22	176659/176659	---M--	200	added ('OK')	image/png	etag:%221781e7c-2b213-5eb49366ff480%22	https://www.wisecrypto.co/assets/images/service-02.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/service-02.png	(from https://www.wisecrypto.co/)
23:01:25	160696/160696	---M--	200	added ('OK')	image/png	etag:%221781e68-273b8-5e98dee58a280%22	https://www.wisecrypto.co/assets/images/service-05.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/service-05.png	(from https://www.wisecrypto.co/)
23:01:25	138217/138217	---M--	200	added ('OK')	image/png	etag:%221781e6a-21be9-5e98deda18780%22	https://www.wisecrypto.co/assets/images/service-04.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/service-04.png	(from https://www.wisecrypto.co/)
23:01:29	84451/84451	---M--	200	added ('OK')	image/png	etag:%221781e74-149e3-5e946f0884c00%22	https://www.wisecrypto.co/assets/images/features-03.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/features-03.png	(from https://www.wisecrypto.co/)
23:01:30	254038/254038	---M--	200	added ('OK')	image/png	etag:%221781e3e-3e056-5e98def6b4b00%22	https://www.wisecrypto.co/assets/images/service-06.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/service-06.png	(from https://www.wisecrypto.co/)
23:01:33	79405/79405	---M--	200	added ('OK')	image/png	etag:%221781e66-1362d-5e9508eae5b00%22	https://www.wisecrypto.co/assets/images/join-community.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/join-community.png	(from https://www.wisecrypto.co/)
23:01:33	438999/438999	---M--	200	added ('OK')	image/png	etag:%221781edb-6b2d7-60448e23bf300%22	https://www.wisecrypto.co/assets/images/testimonials/1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/testimonials/1.png	(from https://www.wisecrypto.co/)
23:01:36	41315/41315	---M--	200	added ('OK')	image/jpeg	etag:%221781ed9-a163-60448e61bc540%22	https://www.wisecrypto.co/assets/images/testimonials/2.jpg	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/testimonials/2.jpg	(from https://www.wisecrypto.co/)
23:01:36	9724/9724	---M--	200	added ('OK')	image/jpeg	etag:%221781edd-25fc-60448eaefbb80%22	https://www.wisecrypto.co/assets/images/testimonials/3.jpeg	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/testimonials/3.jpg	(from https://www.wisecrypto.co/)
23:01:40	690070/690070	---M--	200	added ('OK')	image/png	etag:%221781ed5-a8796-5fc59d87e5480%22	https://www.wisecrypto.co/assets/images/testimonials/5.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/testimonials/5.png	(from https://www.wisecrypto.co/)
23:01:40	1071435/1071435	---M--	200	added ('OK')	image/png	etag:%221781ed3-10594b-5fc82116f2d00%22	https://www.wisecrypto.co/assets/images/testimonials/4.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/testimonials/4.png	(from https://www.wisecrypto.co/)
23:01:42	3656/3656	---M--	200	added ('OK')	image/png	etag:%221781f93-e48-6032ee4119380%22	https://www.wisecrypto.co/assets/images/portfolio/p1-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p1-1.png	(from https://www.wisecrypto.co/)
23:01:44	3656/3656	---M--	200	added ('OK')	image/png	etag:%221781f4f-e48-6032e758fc800%22	https://www.wisecrypto.co/assets/images/portfolio/p1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p1.png	(from https://www.wisecrypto.co/)
23:01:44	765096/765096	---M--	200	added ('OK')	image/png	etag:%221781ed7-baca8-5fb3b39af8640%22	https://www.wisecrypto.co/assets/images/testimonials/6.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/testimonials/6.png	(from https://www.wisecrypto.co/)
23:01:44	3466/3466	---M--	200	added ('OK')	image/png	etag:%221781f65-d8a-6032ee505b780%22	https://www.wisecrypto.co/assets/images/portfolio/p2-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p2-1.png	(from https://www.wisecrypto.co/)
23:01:45	3466/3466	---M--	200	added ('OK')	image/png	etag:%221781f47-d8a-6032e7abf4bc0%22	https://www.wisecrypto.co/assets/images/portfolio/p2.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p2.png	(from https://www.wisecrypto.co/)
23:01:46	8612/8612	---M--	200	added ('OK')	image/png	etag:%221781f8f-21a4-6032e784daf80%22	https://www.wisecrypto.co/assets/images/portfolio/p3-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p3-1.png	(from https://www.wisecrypto.co/)
23:01:47	8811/8811	---M--	200	added ('OK')	image/png	etag:%221781f41-226b-6032ef3078840%22	https://www.wisecrypto.co/assets/images/portfolio/p3.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p3.png	(from https://www.wisecrypto.co/)
23:01:48	5395/5395	---M--	200	added ('OK')	image/png	etag:%221781f4d-1513-6032e816c47c0%22	https://www.wisecrypto.co/assets/images/portfolio/p4-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p4-1.png	(from https://www.wisecrypto.co/)
23:01:49	5432/5432	---M--	200	added ('OK')	image/png	etag:%221781f5b-1538-6032ee6a1b440%22	https://www.wisecrypto.co/assets/images/portfolio/p4.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p4.png	(from https://www.wisecrypto.co/)
23:01:51	3873/3873	---M--	200	added ('OK')	image/png	etag:%221781f6f-f21-6032ee82e6ec0%22	https://www.wisecrypto.co/assets/images/portfolio/p5-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p5-1.png	(from https://www.wisecrypto.co/)
23:01:52	4044/4044	---M--	200	added ('OK')	image/png	etag:%221781f51-fcc-6032e83454d80%22	https://www.wisecrypto.co/assets/images/portfolio/p5.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p5.png	(from https://www.wisecrypto.co/)
23:01:53	6459/6459	---M--	200	added ('OK')	image/png	etag:%221781f5f-193b-6041f4b1db7c0%22	https://www.wisecrypto.co/assets/images/portfolio/p42-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p42-1.png	(from https://www.wisecrypto.co/)
23:01:55	6611/6611	---M--	200	added ('OK')	image/png	etag:%221781f55-19d3-6041f49fbcd00%22	https://www.wisecrypto.co/assets/images/portfolio/p42.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p42.png	(from https://www.wisecrypto.co/)
23:01:56	10811/10811	---M--	200	added ('OK')	image/png	etag:%221781f5d-2a3b-6032eea630200%22	https://www.wisecrypto.co/assets/images/portfolio/p6.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p6.png	(from https://www.wisecrypto.co/)
